user_id,item_id,rating
1,101,4.0
1,102,5.0
1,103,3.0
1,104,2.0
2,101,3.0
2,102,2.0
2,103,4.0
2,104,5.0
3,101,5.0
3,102,4.0
3,103,2.0
3,104,3.0
4,101,2.0
4,102,3.0
4,103,5.0
4,104,4.0
5,101,4.0
5,102,5.0
5,103,3.0
5,104,2.0
6,101,1.0
6,102,2.0
6,103,4.0
6,104,5.0
7,101,5.0
7,103,1.0
7,104,2.0
8,102,3.0
8,103,2.0
8,104,4.0
9,101,2.0
9,102,1.0
9,104,5.0
10,101,3.0
10,102,4.0
10,103,2.0
10,104,5.0
11,101,4.0
11,102,3.0
11,103,5.0
11,104,1.0
12,101,2.0
12,102,5.0
12,103,4.0
12,104,3.0
13,101,1.0
13,102,2.0
13,103,3.0
13,104,4.0
14,101,5.0
14,102,4.0
14,103,2.0
14,104,1.0
15,101,3.0
15,102,5.0
15,103,1.0
15,104,2.0
16,101,4.0
16,102,3.0
16,103,2.0
16,104,5.0
17,101,2.0
17,102,4.0
17,103,5.0
17,104,3.0
18,101,3.0
18,102,1.0
18,103,4.0
18,104,2.0
19,101,5.0
19,102,2.0
19,103,1.0
19,104,4.0
20,101,1.0
20,102,5.0
20,103,3.0
20,104,2.0
21,101,2.0
21,102,3.0
21,103,5.0
21,104,4.0
22,101,4.0
22,102,2.0
22,103,1.0
22,104,3.0
23,101,3.0
23,102,4.0
23,103,2.0
23,104,5.0
24,101,5.0
24,102,1.0
24,103,4.0
24,104,2.0
25,101,2.0
25,102,5.0
25,103,3.0
25,104,1.0
26,101,4.0
26,102,3.0
26,103,2.0
26,104,5.0
27,101,1.0
27,102,2.0
27,103,4.0
27,104,3.0
28,101,3.0
28,102,5.0
28,103,1.0
28,104,4.0
29,101,2.0
29,102,4.0
29,103,5.0
29,104,3.0
30,101,5.0
30,102,2.0
30,103,3.0
30,104,1.0
31,101,3.0
31,102,4.0
31,103,2.0
31,104,5.0
32,101,4.0
32,102,1.0
32,103,5.0
32,104,3.0
33,101,2.0
33,102,5.0
33,103,4.0
33,104,1.0
34,101,1.0
34,102,3.0
34,103,2.0
34,104,4.0
35,101,5.0
35,102,2.0
35,103,3.0
35,104,1.0
36,101,3.0
36,102,4.0
36,103,5.0
36,104,2.0
37,101,2.0
37,102,1.0
37,103,4.0
37,104,5.0
38,101,4.0
38,102,3.0
38,103,1.0
38,104,2.0
39,101,5.0
39,102,4.0
39,103,2.0
39,104,3.0
40,101,1.0
40,102,5.0
40,103,3.0
40,104,4.0
41,101,2.0
41,102,3.0
41,103,5.0
41,104,1.0
42,101,4.0
42,102,2.0
42,103,1.0
42,104,5.0
43,101,3.0
43,102,4.0
43,103,2.0
43,104,1.0
44,101,5.0
44,102,1.0
44,103,4.0
44,104,2.0
45,101,2.0
45,102,5.0
45,103,3.0
45,104,4.0
46,101,4.0
46,102,3.0
46,103,2.0
46,104,5.0
47,101,1.0
47,102,2.0
47,103,4.0
47,104,3.0
48,101,3.0
48,102,5.0
48,103,1.0
48,104,4.0
49,101,2.0
49,102,4.0
49,103,5.0
49,104,3.0
50,101,5.0
50,102,2.0
50,103,3.0
50,104,1.0
51,101,4.0
51,102,3.0
51,103,2.0
51,104,5.0
52,101,2.0
52,102,5.0
52,103,4.0
52,104,1.0
53,101,1.0
53,102,4.0
53,103,3.0
53,104,2.0
54,101,5.0
54,102,1.0
54,103,2.0
54,104,4.0
55,101,3.0
55,102,2.0
55,103,5.0
55,104,1.0
56,101,4.0
56,102,5.0
56,103,1.0
56,104,3.0
57,101,2.0
57,102,3.0
57,103,4.0
57,104,5.0
58,101,1.0
58,102,4.0
58,103,2.0
58,104,3.0
59,101,5.0
59,102,2.0
59,103,3.0
59,104,4.0
60,101,3.0
60,102,1.0
60,103,5.0
60,104,2.0
61,101,2.0
61,102,5.0
61,103,4.0
61,104,1.0
62,101,4.0
62,102,3.0
62,103,2.0
62,104,5.0
63,101,1.0
63,102,2.0
63,103,4.0
63,104,3.0
64,101,3.0
64,102,5.0
64,103,1.0
64,104,4.0
65,101,2.0
65,102,4.0
65,103,5.0
65,104,3.0
66,101,5.0
66,102,2.0
66,103,3.0
66,104,1.0
67,101,4.0
67,102,3.0
67,103,2.0
67,104,5.0
68,101,2.0
68,102,5.0
68,103,4.0
68,104,1.0
69,101,1.0
69,102,4.0
69,103,3.0
69,104,2.0
70,101,5.0
70,102,1.0
70,103,2.0
70,104,4.0
71,101,3.0
71,102,2.0
71,103,5.0
71,104,1.0
72,101,4.0
72,102,5.0
72,103,1.0
72,104,3.0
73,101,2.0
73,102,3.0
73,103,4.0
73,104,5.0
74,101,1.0
74,102,4.0
74,103,2.0
74,104,3.0
75,101,5.0
75,102,2.0
75,103,3.0
75,104,4.0
76,101,3.0
76,102,1.0
76,103,5.0
76,104,2.0
77,101,2.0
77,102,5.0
77,103,4.0
77,104,1.0
78,101,4.0
78,102,3.0
78,103,2.0
78,104,5.0
79,101,1.0
79,102,2.0
79,103,4.0
79,104,3.0
80,101,3.0
80,102,5.0
80,103,1.0
80,104,4.0
81,101,2.0
81,102,4.0
81,103,5.0
81,104,3.0
82,101,5.0
82,102,2.0
82,103,3.0
82,104,1.0
83,101,4.0
83,102,3.0
83,103,2.0
83,104,5.0
84,101,2.0
84,102,5.0
84,103,4.0
84,104,1.0
85,101,1.0
85,102,4.0
85,103,3.0
85,104,2.0
86,101,5.0
86,102,1.0
86,103,2.0
86,104,4.0
87,101,3.0
87,102,2.0
87,103,5.0
87,104,1.0
88,101,4.0
88,102,5.0
88,103,1.0
88,104,3.0
89,101,2.0
89,102,3.0
89,103,4.0
89,104,5.0
90,101,1.0
90,102,4.0
90,103,2.0
90,104,3.0
91,101,5.0
91,102,2.0
91,103,3.0
91,104,4.0
92,101,3.0
92,102,1.0
92,103,5.0
92,104,2.0
93,101,2.0
93,102,5.0
93,103,4.0
93,104,1.0
94,101,4.0
94,102,3.0
94,103,2.0
94,104,5.0
95,101,1.0
95,102,2.0
95,103,4.0
95,104,3.0
96,101,3.0
96,102,5.0
96,103,1.0
96,104,4.0
97,101,2.0
97,102,4.0
97,103,5.0
97,104,3.0
98,101,5.0
98,102,2.0
98,103,3.0
98,104,1.0
99,101,4.0
99,102,3.0
99,103,2.0
99,104,5.0
100,101,2.0
100,102,5.0
100,103,4.0
100,104,1.0
